port-name,country,Industries,Import_capacity,Export_capacity,Import_sector,Export_sector,import_correction,export_correction
Abbot Point,Australia,1,2263.5855518942594,117174.71918200486,47703.19392441277,2469360.3241548254,0.0474514464478203,0.047451446447820296
Abbot Point,Australia,2,0.6189954310408958,38.63350883752444,155.60936840640534,9712.084464696594,0.003977880235489833,0.003977880235489833
Abbot Point,Australia,3,247358.20376353723,12861375.500582226,73687.35107381115,3831369.557928599,3.356861118752436,3.3568611187524366
Abbot Point,Australia,4,4109.565751781926,215374.24424457553,24412.61957100674,1279417.2931424894,0.16833776235396658,0.16833776235396655
Abbot Point,Australia,5,0.4277627034223825,393.75005303053507,7.351713499546407,6767.157485100728,0.05818544254326219,0.05818544254326219
Abbot Point,Australia,6,267.9721089282079,14209.4132344136,8175.698930913555,433522.2984740836,0.03277666058799753,0.03277666058799753
Abbot Point,Australia,7,96351.54538660967,5137708.801734553,73596.34201047524,3924343.6377226324,1.3091893259164373,1.3091893259164373
Abbot Point,Australia,8,1511.4222318829522,82495.15651354445,11904.708261049022,649772.6118662645,0.12696003956923246,0.12696003956923244
Abbot Point,Australia,9,52.153332400438615,5781.9741814081,280.3788119249578,31084.170022285085,0.1860102482151798,0.1860102482151798
Abbot Point,Australia,10,69.9005798765737,4152.501382099584,1793.6239533179455,106551.70469645559,0.038971702929852,0.038971702929852005
Abbot Point,Australia,11,1.5881020117255034,603.2739619073169,6.004912462737969,2281.092338877227,0.2644671377942786,0.2644671377942786
Abenra,Denmark,1,58326.94937318086,3207.6434796824738,138850.93524233392,7635.995056560868,0.420068826121941,0.42006882612194174
Abenra,Denmark,2,16.552582339359986,4.745653733318614,3984.151529998475,1142.2630738096298,0.004154606624453946,0.004154606624453945
Abenra,Denmark,3,447235.6205169049,449586.3420512132,250496.65729892137,251813.29635800218,1.7853955631160858,1.7853955631160863
Abenra,Denmark,4,151070.788364482,13079.164193897188,115695.24862904364,10016.477504719134,1.305764844750572,1.305764844750573
Abenra,Denmark,5,242.8498769350003,38.86990293701027,16640.12423678926,2663.3738592213053,0.014594234603013914,0.01459423460301391
Abenra,Denmark,6,2657.445656734559,201.64417974258325,50259.12897784039,3813.6098142328283,0.05287488483746398,0.05287488483746399
Abenra,Denmark,7,250730.48915730036,89937.39780266184,510156.6338586866,182993.94012760284,0.49147746499117895,0.49147746499117906
Abenra,Denmark,8,7088.514504771561,1417.5726326556744,95286.24672574863,19055.49823393507,0.07439179050858842,0.07439179050858842
Abenra,Denmark,9,3567.117192413911,815.0219035895431,22141.74436991446,5058.98900197018,0.16110371128937806,0.16110371128937814
Abenra,Denmark,10,518.4872989813649,71.35572170041662,27199.422342810518,3743.263171380861,0.019062437887340425,0.019062437887340432
Abenra,Denmark,11,309.08640629763426,47.64059769230489,6289.502086101788,969.4235413263496,0.04914322343268431,0.04914322343268433
Aberdeen,U.S.A.,1,0.0,126143.18455666667,7488.474339594816,171908.38622592273,0.0,0.7337814479329052
Aberdeen,U.S.A.,2,0.0,5.302266666666667,139.9347094938713,1121.75699240074,0.0,0.004726751607154207
Aberdeen,U.S.A.,3,0.0,7980.0,11529.183355737161,278578.36132691405,0.0,0.028645440952376783
Aberdeen,U.S.A.,4,19966.06374,2154092.250776667,4747.423891094749,88480.75130523913,4.205662733730705,24.345320524523157
Aberdeen,U.S.A.,5,0.24472000000000002,37.291869999999996,299.90051455644755,396.39142514856053,0.0008160039350447283,0.09407839734682369
Aberdeen,U.S.A.,6,220.75739000000002,55676.85478833334,1524.2574324668947,30984.287271916273,0.14482946600609384,1.7969383739479483
Aberdeen,U.S.A.,7,40.031670000000005,995.1286100000002,21759.559786215876,291057.3555573409,0.001839727935367472,0.0034190120641151467
Aberdeen,U.S.A.,8,35.61474,10.71714,2850.023200796191,48626.1854858626,0.012496298272256366,0.000220398534100847
Aberdeen,U.S.A.,9,15351.81893,5719.08748075,556.4641717828861,4597.281630734819,27.5881533950577,1.2440150376073162
Aberdeen,U.S.A.,10,35704.0797575,71390.1692035,2469.8138310692957,12628.733149116766,14.456182611157404,5.652995305272795
Aberdeen,U.S.A.,11,22.342670000000002,11.377983750000002,137.63384991238613,114.54428969680151,0.16233412067033454,0.09933261431117606
Aberdeen,United Kingdom,1,471.1512856022213,90.07019744823805,10964.298297750702,11757.643663458777,0.04297140344119211,0.007660565333185294
Aberdeen,United Kingdom,2,0.0725454545454545,20.616877647058825,2385.4810517487585,3357.4569360883015,3.0411247447248666e-05,0.006140623108357449
Aberdeen,United Kingdom,3,278525.08635451604,429.1344397389455,40232.2324442581,19715.51564101722,6.922933912265831,0.021766331023376894
Aberdeen,United Kingdom,4,26582.32153521212,14275.697266303032,20197.65190604358,21100.66985727653,1.3161094992065938,0.6765518518067369
Aberdeen,United Kingdom,5,288.9642642727273,256.4335532992424,5427.46282922565,3760.735085281144,0.053241131881497296,0.06818708244111059
Aberdeen,United Kingdom,6,3740.8533122325516,122.39766405457289,7330.942739186146,12498.336509709465,0.5102827078755559,0.009793116384687432
Aberdeen,United Kingdom,7,169670.96528316333,12590.204071046172,138809.56650934162,48159.869236757506,1.222329047989245,0.26142521295379334
Aberdeen,United Kingdom,8,55691.61077231174,29197.003246696557,27035.6049900663,22150.741214736205,2.0599358066066777,1.3181050224753965
Aberdeen,United Kingdom,9,20904.17447696544,18987.833559112805,10821.992404579609,13166.169049455511,1.9316382506532985,1.4421684460976938
Aberdeen,United Kingdom,10,1182.309814203665,2691.4716736333994,8646.59071795958,9506.569144934765,0.13673710862108043,0.2831170354520015
Aberdeen,United Kingdom,11,1943.3556688422664,1210.2287220433604,1828.069781909776,692.6250334086428,1.0630642703431439,1.747307220600177
